entrada;tipo;numero_nf;documento;macro_item_informakon;grupo_fip_wave;valor_descontado;valor_a_descontar;valor_total_nf;medicoes
157045/005;NF-e;206;NF-e 206;LÓGICA (DADOS E VOZ) - INFRA SECA;7;2283.46;0.00;2283.46;med3=2283.46
153498/002;NF-e;1115;NF-e 1115;LÓGICA (DADOS E VOZ) - INFRA SECA;7;1060.07;0.00;1060.07;med1=1060.07
156574/001;NF-e;237635;NF-e 237635;ÁGUA PLUVIAL;8;0.00;91345.32;91345.32;
154086/001;NF-e;233482;NF-e 233482;ÁGUA PLUVIAL;8;55232.06;26659.08;81891.14;med1=21243.23;med2=1249.50;med3=5907.79;med4=26831.54
156451/001;NF-e;237358;NF-e 237358;ÁGUA PLUVIAL;8;0.00;62597.09;62597.09;
156452/001;NF-e;237336;NF-e 237336;ÁGUA PLUVIAL;8;0.00;52158.77;52158.77;
156549/001;NF-e;237634;NF-e 237634;ÁGUA PLUVIAL;8;0.00;43898.83;43898.83;
155645/002;NF-e;115581;NF-e 115581;ÁGUA PLUVIAL;8;0.00;25000.00;25000.00;
154955/001;NF-e;235394;NF-e 235394;ÁGUA PLUVIAL;8;0.00;20000.00;20000.00;
156664/001;NF-e;9698;NF-e 9698;ÁGUA PLUVIAL;8;0.00;15000.00;15000.00;
158016/001;NFS-e;550;NFS-e 550;ÁGUA PLUVIAL;8;0.00;12560.00;12560.00;
156914/001;NF-e;3049;NF-e 3049;ÁGUA PLUVIAL;8;0.00;4953.71;4953.71;
157101/001;NF-e;1682004;NF-e 1682004;ÁGUA PLUVIAL;8;0.00;4514.00;4514.00;
156660/001;NF-e;3040;NF-e 3040;ÁGUA PLUVIAL;8;0.00;4481.25;4481.25;
155099/001;NF-e;129977;NF-e 129977;ÁGUA PLUVIAL;8;0.00;3147.02;3147.02;
156657/001;NF-e;237831;NF-e 237831;ÁGUA PLUVIAL;8;0.00;2351.42;2351.42;
154859/003;NF-e;198;NF-e 198;ÁGUA PLUVIAL;8;1561.87;0.00;1561.87;med1=1561.87
155801/002;NF-e;201;NF-e 201;ÁGUA PLUVIAL;8;0.00;1249.50;1249.50;
156451/002;NF-e;237358;NF-e 237358;ESGOTO;9;0.00;62597.08;62597.08;
